identifier,neutral,edition,F2,ajout,casAbs,erreur,erreur om.,inv.,om.,om. casAbs,om. erreur,plur.,red.,semantique,sing.,temps,edition_real,diff
1.1.1,173,90,8,2,0,0,0,0,0,0,0,0,0,5,0,1,263,82
2.1.1,195,293,46,7,0,0,0,15,0,0,0,0,8,14,2,0,488,247
3.1.1,196,83,30,2,3,0,0,6,0,0,0,0,7,12,0,0,279,53
4.1.1,223,30,12,0,0,0,0,0,0,0,0,0,2,9,0,1,253,18
5.1.1,228,94,32,0,3,1,0,4,0,0,0,0,0,24,0,0,322,62
6.1.1,164,65,23,0,0,0,0,8,0,0,0,0,0,15,0,0,229,42
7.1.1,200,79,29,4,0,0,0,0,0,0,0,0,2,21,2,0,279,50
8.1.1,225,87,58,13,0,0,0,14,0,0,0,2,0,28,0,1,312,29
9.1.1,187,156,44,0,0,0,0,6,0,0,0,0,4,32,0,2,343,112
10.1.1,95,112,51,10,0,0,0,18,0,0,0,0,5,18,0,0,207,61
11.1.1,268,175,47,0,0,0,0,2,0,0,0,2,2,37,0,4,443,128
12.1.1,275,249,45,2,0,0,0,5,0,0,0,0,3,34,0,1,524,204
12.2.1,73,42,10,0,0,0,0,2,0,0,0,0,0,8,0,0,115,32
13.1.1,125,79,13,0,0,0,0,8,0,0,0,0,2,3,0,0,204,66
14.1.1,210,71,32,0,0,0,0,11,0,0,0,0,0,20,0,1,281,39
15.1.1,182,165,22,2,0,0,0,3,0,0,0,0,0,17,0,0,347,143
16.1.1,327,110,61,6,0,0,0,14,0,0,0,0,7,33,0,1,437,49
16.2.1,203,210,56,6,0,0,0,0,0,0,0,1,9,36,1,3,413,154
17.1.1,126,92,17,0,0,0,0,0,0,0,0,0,0,17,0,0,218,75
18.1.1,165,155,39,7,0,0,0,5,0,0,0,3,6,16,0,2,320,116
19.1.1,125,40,10,6,0,0,0,0,0,0,0,0,0,4,0,0,165,30
20.1.1,146,86,18,0,0,0,0,0,0,0,0,0,0,18,0,0,232,68
21.1.1,332,145,48,0,0,0,0,8,0,0,0,0,2,34,2,2,477,97
22.1.1,188,124,31,2,0,0,0,7,0,0,0,0,11,11,0,0,312,93
23.1.1,222,122,42,3,0,0,0,0,0,0,0,0,2,37,0,0,344,80
24.1.1,150,43,12,0,0,0,0,2,0,0,0,0,0,10,0,0,193,31
25.1.1,173,74,17,0,0,0,0,0,0,0,0,0,0,16,0,1,247,57
26.1.1,169,59,20,9,0,0,0,0,0,0,0,0,0,10,0,1,228,39
27.1.1,70,55,6,0,0,0,0,0,0,0,0,0,0,4,0,2,125,49
28.1.1,100,46,12,0,0,0,0,0,0,0,0,0,0,12,0,0,146,34
29.1.1,201,68,10,0,0,2,0,3,0,0,0,0,0,5,0,0,269,58
29.2.1,397,284,48,2,0,0,0,0,0,0,0,5,0,37,1,3,681,236
29.3.1,86,39,9,7,0,0,0,0,0,0,0,0,0,2,0,0,125,30
30.1.1,307,47,15,0,0,0,0,0,0,0,0,0,2,13,0,0,354,32
30.2.1,286,261,58,2,2,0,0,2,0,0,0,0,2,45,3,2,547,203
31.1.1,242,62,20,4,0,4,0,0,0,0,0,0,0,12,0,0,304,42
31.2.1,110,32,8,6,0,0,0,0,0,0,0,0,2,0,0,0,142,24
31.3.1,362,163,57,6,0,0,0,17,0,0,0,0,0,33,0,1,525,106
32.1.1,302,129,29,6,0,0,0,2,0,0,0,0,3,17,0,1,431,100
32.2.1,23,235,2,0,0,0,0,0,0,0,0,0,0,1,1,0,258,233
33.1.1,212,165,67,8,0,0,0,2,0,0,0,0,9,48,0,0,377,98
33.2.1,54,170,8,0,0,0,0,0,0,0,0,0,1,7,0,0,224,162
34.1.1,152,218,45,10,0,0,0,0,0,0,0,0,8,27,0,0,370,173
35.1.1,132,84,7,0,0,0,0,0,0,0,0,0,0,7,0,0,216,77
35.2.1,94,223,19,4,0,2,0,0,0,0,0,2,0,11,0,0,317,204
36.1.1,72,186,44,10,0,0,0,0,0,0,0,0,12,22,0,0,258,142
37.1.1,129,110,18,0,0,0,0,2,0,0,0,0,3,7,0,6,239,92
38.1.1,238,91,19,0,0,0,0,3,0,0,0,0,2,14,0,0,329,72
39.1.1,174,141,33,0,0,0,0,4,0,0,0,2,2,21,0,4,315,108
40.1.1,68,46,5,0,3,0,0,0,0,0,0,0,0,2,0,0,114,41
40.2.1,182,188,36,7,0,0,0,3,0,0,0,2,2,21,0,1,370,152
41.1.1,64,25,6,0,0,0,0,4,0,0,0,0,0,2,0,0,89,19
42.1.1,235,45,23,0,0,0,0,4,0,0,0,0,1,15,0,3,280,22
43.1.1,58,63,16,6,0,0,0,2,0,0,0,0,0,8,0,0,121,47
44.1.1,248,146,59,0,3,0,0,2,0,0,0,0,0,53,1,0,394,87
44.2.1,215,75,26,2,0,0,0,9,0,0,0,0,0,14,0,1,290,49
44.3.1,91,40,16,0,3,0,0,4,0,0,0,0,0,7,0,2,131,24
Nombre total ̩dition,10249,,,,,,,,,,,,,,,,,
Nombre mots F2,6567,,,,,,,,,,,,,,,,,
Pourcentage de diff,"64,0745438579374",,,,,,,,,,,,,,,,,
