identifier,neutral,edition,N,ajout,ajout ajout,casAbs,casAbs om.,erreur,etym.,inv.,om.,om. casAbs,om. erreur,plur.,red.,semantique,sing.,temps,edition_real,diff
1.1.1,195,68,75,13,0,0,0,0,0,7,0,0,0,0,0,55,0,0,263,-7
2.1.1,359,129,111,11,0,0,0,0,2,22,0,0,0,0,4,72,0,0,488,18
3.1.1,198,81,76,6,0,0,0,0,1,4,0,0,0,0,1,64,0,0,279,5
4.1.1,215,38,37,3,0,0,0,0,0,5,0,0,0,0,8,19,0,2,253,1
5.1.1,255,67,60,5,0,0,0,0,0,8,0,0,0,0,1,45,0,1,322,7
6.1.1,171,58,85,30,0,0,0,0,1,5,0,0,0,0,1,47,0,1,229,-27
7.1.1,226,53,57,9,0,0,0,0,0,17,0,0,0,0,0,29,0,2,279,-4
8.1.1,248,64,70,19,0,0,0,0,0,9,0,0,0,0,2,40,0,0,312,-6
9.1.1,266,77,76,3,0,0,0,0,1,15,0,0,0,0,0,57,0,0,343,1
10.1.1,154,53,49,9,0,0,0,0,0,0,0,0,0,0,0,40,0,0,207,4
11.1.1,338,104,88,5,0,0,0,0,0,17,0,0,0,0,0,59,5,2,442,16
12.1.1,328,110,105,24,0,0,0,0,0,4,0,0,0,0,0,77,0,0,438,5
12.2.1,93,22,17,5,0,0,0,0,0,0,0,0,0,0,1,11,0,0,115,5
13.1.1,150,54,47,0,0,0,0,0,0,29,0,0,0,2,0,14,0,2,204,7
14.1.1,196,85,70,12,0,0,0,0,1,14,0,0,0,0,0,43,0,0,281,15
15.1.1,278,69,61,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,347,8
16.1.1,290,146,128,19,0,0,0,0,0,33,0,0,0,0,13,58,4,1,436,18
16.2.1,286,127,114,27,0,0,0,0,0,15,0,0,0,0,3,69,0,0,413,13
17.1.1,158,61,51,3,0,0,0,0,0,18,0,0,0,0,0,25,5,0,219,10
18.1.1,247,73,70,2,0,0,0,0,1,11,0,0,0,3,0,47,0,6,320,3
19.1.1,119,46,54,10,0,0,0,0,1,8,0,0,0,0,0,35,0,0,165,-8
20.1.1,165,67,67,3,0,0,0,0,0,4,0,0,0,0,0,58,0,2,232,0
21.1.1,330,147,136,28,0,1,0,0,2,23,0,0,0,2,4,75,1,0,477,11
22.1.1,231,81,75,17,0,0,0,0,0,17,0,0,0,0,0,41,0,0,312,6
23.1.1,251,93,89,29,0,0,0,0,1,12,0,0,0,1,1,45,0,0,344,4
24.1.1,156,37,47,21,0,0,0,6,1,3,0,0,0,0,0,16,0,0,193,-10
25.1.1,190,57,59,4,0,0,0,0,4,12,0,0,0,0,0,38,0,1,247,-2
26.1.1,176,52,49,2,0,0,0,0,2,0,0,0,0,3,1,40,0,1,228,3
27.1.1,88,37,31,3,0,0,0,0,0,6,0,0,0,0,2,18,0,2,125,6
28.1.1,107,39,35,6,0,0,0,0,1,10,0,0,0,0,0,18,0,0,146,4
29.1.1,204,65,67,15,0,0,0,3,0,4,0,0,0,2,0,41,0,2,269,-2
29.2.1,401,195,216,23,35,0,0,0,0,21,0,0,0,2,3,129,0,3,596,-21
29.3.1,101,24,23,6,0,0,0,0,0,0,0,0,0,1,0,9,7,0,125,1
30.1.1,236,118,134,50,0,3,0,0,1,15,0,0,0,0,6,59,0,0,354,-16
30.2.1,384,162,160,42,0,0,0,0,3,13,0,0,0,2,3,83,1,13,546,2
31.1.1,223,81,77,2,0,0,0,0,0,8,0,0,0,0,0,66,0,1,304,4
31.2.1,123,19,6,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,142,13
31.3.1,414,111,107,19,0,0,0,0,0,2,0,0,0,2,1,82,0,1,525,4
32.1.1,346,85,89,20,0,0,0,0,0,42,0,0,0,0,0,24,0,3,431,-4
32.2.1,215,43,32,8,0,0,0,0,0,7,0,0,0,0,0,16,1,0,258,11
33.1.1,281,99,121,37,0,0,0,0,0,9,0,0,0,0,3,71,0,1,380,-22
33.2.1,175,49,49,10,0,0,0,0,0,3,0,0,0,0,0,34,1,1,224,0
34.1.1,269,100,100,4,0,0,0,0,0,23,0,0,0,0,16,57,0,0,369,0
35.1.1,147,69,59,24,0,0,0,0,0,19,0,0,0,0,1,15,0,0,216,10
35.2.1,241,76,73,14,0,0,0,0,1,0,0,0,0,8,0,48,0,2,317,3
36.1.1,190,68,66,29,0,0,0,0,0,14,0,0,0,0,0,21,0,2,258,2
37.1.1,180,59,52,16,0,0,0,0,0,2,0,0,0,0,0,22,0,12,239,7
38.1.1,254,75,70,15,0,0,0,0,1,15,0,0,0,0,2,33,0,4,329,5
39.1.1,212,66,68,7,0,0,0,0,0,11,0,0,0,2,3,45,0,0,278,-2
40.1.1,76,38,29,2,0,0,0,0,1,4,0,0,0,0,0,19,0,3,114,9
40.2.1,282,88,88,39,0,0,0,0,0,22,0,0,0,4,1,20,0,2,370,0
41.1.1,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,89
42.1.1,221,59,59,22,0,0,0,0,0,7,0,0,0,0,0,23,0,7,280,0
43.1.1,70,51,42,13,0,0,0,0,0,7,0,0,0,0,0,19,3,0,121,9
44.1.1,0,394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,394
44.2.1,0,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,290
44.3.1,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,111
Mots C1,16588,,,,,,,,,,,,,,,,,,,
Mots N,15585,,,,,,,,,,,,,,,,,,,
Pourcentage de moins,"6,04653966722933",,,,,,,,,,,,,,,,,,,
