lemma	textes
aitre	lemma_only/LiSaintAlexis.txt
grabat	lemma_only/LiSaintAlexis.txt
boniface	lemma_only/LiSaintAlexis.txt
cors2	lemma_only/LiSaintAlexis.txt, lemma_only/LiSaintJerome.txt
mois2	lemma_only/LiSaintAlexis.txt
secorable	lemma_only/LiSaintAlexis.txt
a3+il	lemma_only/LiSaintAlexis.txt, lemma_only/LiSaintNicolas.txt
enveloper	lemma_only/LiSaintAlexis.txt
kyrïe_lëyson	lemma_only/LiSaintAlexis.txt
lavëure	lemma_only/LiSaintAlexis.txt
kalende	lemma_only/LiSaintMartin.txt, lemma_only/LiSaintJerome.txt
malaventure	lemma_only/LiSaintJerome.txt
octembre	lemma_only/LiSaintJerome.txt
devorëor	lemma_only/LiSaintJerome.txt
marche2	lemma_only/LiSaintJerome.txt, lemma_only/LiSaintDialogues.txt
mugir	lemma_only/LiSaintJerome.txt
empeler	lemma_only/LiSaintDialogues.txt
gavïon	lemma_only/LiSaintDialogues.txt
ars	lemma_only/LiSaintDialogues.txt
saturnin	lemma_only/LiSaintDialogues.txt
granement	lemma_only/LiSaintDialogues.txt
pluisor	lemma_only/LiSaintDialogues.txt
escomenie	lemma_only/LiSaintDialogues.txt
targier1	lemma_only/LiSaintDialogues.txt
messie	lemma_only/LiSaintDialogues.txt
lire2	lemma_only/LiSaintDialogues.txt
covent2	lemma_only/LiSaintDialogues.txt
for	lemma_only/LiSaintDialogues.txt
pasquerez	lemma_only/LiSaintDialogues.txt
done2	lemma_only/LiSaintDialogues.txt
mëurir	lemma_only/LiSaintDialogues.txt
empresent	lemma_only/LiSaintDialogues.txt
faille1	lemma_only/LiSaintDialogues.txt
avoine	lemma_only/LiSaintDialogues.txt
tüelet	lemma_only/LiSaintDialogues.txt
ravoir1	lemma_only/LiSaintDialogues.txt
dessemblable	lemma_only/LiSaintDialogues.txt
sëure	lemma_only/LiSaintDialogues.txt
aveuc	lemma_only/LiSaintDialogues.txt
pöeros	lemma_only/LiSaintDialogues.txt
norriz	lemma_only/LiSaintDialogues.txt
emporter1	lemma_only/LiSaintDialogues.txt
vice2	lemma_only/LiSaintDialogues.txt
esprendre1	lemma_only/LiSaintDialogues.txt
anacorite	lemma_only/LiSaintDialogues.txt
voile	lemma_only/LiSaintDialogues.txt
secretaire1	lemma_only/LiSaintDialogues.txt
flairier2	lemma_only/LiSaintDialogues.txt
secretaire2	lemma_only/LiSaintDialogues.txt
mïete	lemma_only/LiSaintDialogues.txt
male1	lemma_only/LiSaintDialogues.txt
vomit	lemma_only/LiSaintDialogues.txt
cuit	lemma_only/LiSaintDialogues.txt
som3	lemma_only/LiSaintDialogues.txt
rissir	lemma_only/LiSaintDialogues.txt
ventrail	lemma_only/LiSaintDialogues.txt
esquiper	lemma_only/LiSaintDialogues.txt
tor4	lemma_only/LiSaintDialogues.txt
traversain	lemma_only/LiSaintDialogues.txt
comunité	lemma_only/LiSaintDialogues.txt
tan	lemma_only/LiSaintDialogues.txt
fublëure	lemma_only/LiSaintDialogues.txt
haitieement	lemma_only/LiSaintDialogues.txt
massi	lemma_only/LiSaintDialogues.txt
crüelement	lemma_only/LiSaintDialogues.txt
aboser	lemma_only/LiSaintDialogues.txt
enfleüre	lemma_only/LiSaintDialogues.txt
wide	lemma_only/LiSaintBenoit.txt
buison	lemma_only/LiSaintBenoit.txt
entoschement	lemma_only/LiSaintBenoit.txt
estoupail	lemma_only/LiSaintBenoit.txt
penable	lemma_only/LiSaintBenoit.txt
espessece	lemma_only/LiSaintBenoit.txt
sosdïacre	lemma_only/LiSaintBenoit.txt
barillet	lemma_only/LiSaintBenoit.txt
moinet1	lemma_only/LiSaintBenoit.txt
tantet	lemma_only/LiSaintBenoit.txt
air2	lemma_only/LiSaintBenoit.txt
soronder	lemma_only/LiSaintBenoit.txt
espäorir	lemma_only/LiSaintBenoit.txt
congregacïon	lemma_only/LiSaintBenoit.txt
abondanment	lemma_only/LiSaintBenoit.txt
ampolete	lemma_only/LiSaintBenoit.txt
renföir	lemma_only/LiSaintBenoit.txt
fisiciien	lemma_only/LiSaintBenoit.txt
eschars	lemma_only/LiSaintBrice.txt
chaere	lemma_only/LiSaintBrice.txt
ipocrisie	lemma_only/LiSaintBrice.txt
afüir	lemma_only/LiSaintGilles.txt
parmenablement	lemma_only/LiSaintGilles.txt
ordoner	lemma_only/LiSaintGilles.txt
veredemius	lemma_only/LiSaintGilles.txt
cyprès	lemma_only/LiSaintGilles.txt
aorner	lemma_only/LiSaintGilles.txt
baraigneté	lemma_only/LiSaintGilles.txt
uisseüre	lemma_only/LiSaintGilles.txt
canon	lemma_only/LiSaintGilles.txt
plenteïf	lemma_only/LiSaintGilles.txt
fecont	lemma_only/LiSaintGilles.txt
orfèvre	lemma_only/LiSaintNicolas.txt
decès	lemma_only/LiSaintNicolas.txt
pic2	lemma_only/LiSaintNicolas.txt
durté	lemma_only/LiSaintNicolas.txt
resemer	lemma_only/LiSaintNicolas.txt
saume	lemma_only/LiSaintNicolas.txt
uitel	lemma_only/LiSaintNicolas.txt
vöe	lemma_only/LiSaintNicolas.txt
senevé	lemma_only/LiSaintMarcel.txt, lemma_only/LiSaintNicolas.txt
uitave	lemma_only/LiSaintNicolas.txt
popler2	lemma_only/LiSaintNicolas.txt
sïon	lemma_only/LiSaintNicolas.txt
confessor	lemma_only/LiSaintNicolas.txt
orner	lemma_only/LiSaintNicolas.txt
engrander	lemma_only/LiSaintNicolas.txt
corrigier	lemma_only/LiSaintNicolas.txt
soussir	lemma_only/LiSaintNicolas.txt
comunement	lemma_only/LiSaintNicolas.txt, lemma_only/LiSaintMartin.txt
sorsemer	lemma_only/LiSaintNicolas.txt
chevance	lemma_only/LiSaintNicolas.txt
sort1	lemma_only/LiSaintNicolas.txt
ensivance	lemma_only/LiSaintNicolas.txt
vïoler	lemma_only/LiSaintNicolas.txt
mäistire	lemma_only/LiSaintNicolas.txt
pic1	lemma_only/LiSaintNicolas.txt
parfiner	lemma_only/LiSaintNicolas.txt
antiene	lemma_only/LiSaintNicolas.txt, lemma_only/LiSaintMartin.txt
delit1	lemma_only/LiSaintMartin.txt
banc	lemma_only/LiSaintMartin.txt
cuidance	lemma_only/LiSaintMartin.txt
acolite	lemma_only/LiSaintMartin.txt
reconvertir	lemma_only/LiSaintMartin.txt
soie1	lemma_only/LiSaintMartin.txt
dominator	lemma_only/LiSaintMartin.txt
assomement	lemma_only/LiSaintMartin.txt
livroison	lemma_only/LiSaintMartin.txt
dervee	lemma_only/LiSaintMartin.txt
rafubler	lemma_only/LiSaintMartin.txt
blandir	lemma_only/LiSaintMartin.txt
mon	lemma_only/LiSaintMartin.txt
poissonel	lemma_only/LiSaintMartin.txt
chapitel	lemma_only/LiSaintMartin.txt
mors2	lemma_only/LiSaintMartin.txt
carïole	lemma_only/LiSaintMartin.txt
prosprement	lemma_only/LiSaintMartin.txt
a1	lemma_only/LiSaintMartin.txt
flum	lemma_only/LiSaintMartin.txt
nu2	lemma_only/LiSaintMartin.txt
devorer	lemma_only/LiSaintMartin.txt
nonsavoir	lemma_only/LiSaintMartin.txt
encovencier	lemma_only/LiSaintMartin.txt
voillance	lemma_only/LiSaintMartin.txt
eresie	lemma_only/LiSaintMartin.txt
deversité	lemma_only/LiSaintMartin.txt
daërrain	lemma_only/LiSaintMartin.txt
corcier	lemma_only/LiSaintMartin.txt
deça	lemma_only/LiSaintMartin.txt
juignet	lemma_only/LiSaintMartin.txt
adjutor	lemma_only/LiSaintMartin.txt
estovoir	lemma_only/LiSaintMartin.txt
tardif	lemma_only/LiSaintMartin.txt
repöoir	lemma_only/LiSaintMartin.txt
pluion	lemma_only/LiSaintMartin.txt
chëement	lemma_only/LiSaintMartin.txt
rëondece	lemma_only/LiSaintMarcel.txt
etiope	lemma_only/LiSaintMarcel.txt
repromissïon	lemma_only/LiSaintMarcel.txt
plegement	lemma_only/LiSaintMarcel.txt
maleoit	lemma_only/LiSaintMarcel.txt
fuerre1	lemma_only/LiSaintMarcel.txt
escolorjable	lemma_only/LiSaintMarcel.txt
chaucine	lemma_only/LiSaintMarcel.txt
flamesche	lemma_only/LiSaintMarcel.txt
absolucion	lemma_only/LiSaintMarcel.txt
ree	lemma_only/LiSaintMarcel.txt
relaiier	lemma_only/LiSaintMarcel.txt
restabler	lemma_only/LiSaintMarcel.txt
vomir	lemma_only/LiSaintMarcel.txt
volille	lemma_only/LiSaintMarcel.txt
vivre2	lemma_only/LiSaintMarcel.txt
porporter	lemma_only/LiSaintMarcel.txt
comfait	lemma_only/LiSaintMarcel.txt
ladre	lemma_only/LiSaintMarcel.txt
que+il	lemma_only/LiSaintMarcel.txt
entenebrer	lemma_only/LiSaintMarcel.txt
liier1	lemma_only/LiSaintMarcel.txt
refuiement	lemma_only/LiSaintMarcel.txt
conchiëure	lemma_only/LiSaintMarcel.txt
guerredonëor	lemma_only/LiSaintMarcel.txt
süor1	lemma_only/LiSaintMarcel.txt
orribleté	lemma_only/LiSaintMarcel.txt
anonciier	lemma_only/LiSaintMarcel.txt
*ex	lemma_only/LiSaintMarcel.txt
he_las	lemma_only/LiSaintMarcel.txt
enoscurcir	lemma_only/LiSaintMarcel.txt
