Nb de leçons divergente entre l'édition et G1 :2206		
		
ajout		
150		
Pourcentage : 6.799637352674524		
Lemme 	leçon	
fist il	Adont fist il (G1)	1
fu	Aprés fu (G1)	1
vit qe	Car quant li emperieres oï ce que (G1)	1
car	Et bien sachiez que (G1)	1
Et	Et quant (G1)	4
Saces	Et saches (G1)	1
Seinz Ambroses	Et saint Ambroise (G1)	1
Si	Et si (G1)	2
Et	Et tout (G1)	1
Il escoust	Il escoust, fait il, (G1)	1
Mes	Mes bien sachiez qu' (G1)	1
Seinz Martins	Mes saint Martin (G1)	1
Sires	Sires que tu aoures (G1)	1
a destruire	a confraindre l'ymage aus faus diex (G1)	1
la	a la (G1)	2
a vraie creance	a vraie foi et a veraie creance (G1)	1
ala	ala il (G1)	1
alumee	alumee et arse (G1)	1
si firent	aprés li fist on un (G1)	1
arcevesqes	arcevesques estoit (G1)	1
rasamblees	assemblees et requises (G1)	1
au povre home	au povre et cele partie meïsme (G1)	1
bon l'assomement	bien estre sens et sauvemenz (G1)	1
pastor	bon paistres (G1)	1
venoit	ce venoit (G1)	1
vint	ce vint (C2 G1)	1
vraiement	ceste chose et sanz doutance (G1)	1
cil	cil estoit (G1)	1
Ce	cist plors et ceste plainte (G1)	1
demanda	conmanda qu'il li deïssent (G1)	1
conmença	conmença molt durement (G1)	1
conté	conté et dit (G1)	2
couchierent	couchierent en sa ciaulle (G1)	1
covint	couvint il (G1)	1
chose	creature. Une foiz et autre li demanda s'il ooit neïs ne	
                entendoit nule chose (G1)	1	
croi je	croi je veraiement (G1)	1
de bone loy et de seinte vie	de bonne foi et de bonne loi et de sainte vie (G1)	1
de ceste vie	de ceste vie que ce seroit bien afaire (G1)	1
de	de la cité de la cité de (G1)	1
delivrez	delivrez par saint Martin (G1)	1
des siecles	des siecles sanz fin (C2 G1)	1
devant	devant lui (G1)	1
croire	dire ne reconter (G1)	1
el cors	el cors de celi sergent (G1)	1
enfermetez	enfermetez qu'il avoient (G1)	1
voiseus	envieus ne malicieus (G1)	1
envoia	envoia tantost (G1)	1
meüs en pitié	esmeüz durement pour le duel que li desciple menoient	
                entr'euls (G1)	1	
archevesqes 	estre arcevesques (G1)	1
seoir et gesir	estre plus coiement et bele noeve chambre (G1)	1
com seint Martin	et aornez de si bonnes mors conme saint Martin (G1)	1
car	et bien sachiez qu' (G1)	1
ou eglyse	et chastiaus et eglises (G1)	1
toz	et devant les sainz homes qui la estoient assemblé (G1)	1
et 	et la vint (G1)	1
qant	et qant (C2 C3 G1)	1
si	et si (G1)	9
flamber	faire grant flambe (G1)	1
fist	fist il (G1)	1
cuidance	fole quidance (G1)	1
fouc	fouc d'oeilles (G1)	1
esteinte	fu estrainte (G1)	1
sanez	gariz et sanez (G1)	1
genz	genz sarrazines (G1)	1
fiance	grant fiance (G1)	1
haste	grant haste (G1)	1
peor	grant paour (G1)	1
humles	humbles estoit (G1)	1
l'ame	l'ame du saint home (G1)	1
une grant tençon	la contençon granz et une discencion (G1)	1
lor compaignie	la cruels compaignie (G1)	1
li priast	la feïst et qu'il le proiast (G1)	1
ou	la ou (G1)	1
le grant chemin plenier	le grant chemin plenier et la grant voie batue (G1)	1
les genz	le pueple et les genz (G1)	1
le seint home	le saint home maint jour (G1)	1
desfendera	les desfendera (G1)	1
les nuz	les nuz qui povreté destraignoit et besoinz (G1)	1
les oevres et  les vies es escripturesescriptures	les vies et les oeuvres et les escriptures (G1)	1
disoit	leur disoit (G1)	1
lessast	leur lessast (G1)	1
removoir nena amont treire	lever ne remouvoir ne amont traire (G1)	1
toutes les forces de ses membres li conmencierent a faillirdeffaillir	li conmencierent tuit li membre a desfaillir et a	
                afebloier (G1)	1	
li cors	li cors saint (G1)	1
disoit	li disoit (G1)	1
vint pluisors foiz a seint		
                  Martin	li disoit souventes foiz a haute voiz cruels paroles a	
                saint Martin et (G1)	1	
issi	li issi (G1)	1
meint	maint biau (G1)	1
manoient	manoient et habitoient (G1)	1
sivoient. et chaçoient	mengoient et gaitoient en un lieu (G1)	1
meüst	meüst en nule maniere (G1)	1
formee	molt formé (G1)	1
granz	molt grant (G1)	1
granz loenges	molt grant loenge (G1)	1
looient	molt looient (G1)	1
moroit	moroit et qu'il ne rendoit l'ame (G1)	1
mort	mort et passion (G1)	1
malvestié	nule mauviestié (G1)	1
por retenir et oïr	pour oïr et retenir de (G1)	1
proia	proia il (C3 G1)	1
molt	puis molt (G1)	1
Li moigne qi estoient deciple	qu'il estoit granz a desmesure et de grant hautece. Li	
                pueples qui i estoit avoit grant paor de son trembler. (G1)	1	
el ciel	qu'il l'enportent la sus el ciel (G1)	1
de cui tous li  biens vientli biens toz viennent en terre et el ciel lassus	qui Sires est de toute creature, car de lui vient touz les	
                biens (G1)	1	
de l'eglisse	qui en l'eglise estoient (G1)	1
ses peres	qui ses peres estoit (G1)	1
por le seint hom s'aparut ilueqes	s'apparut pour le saint home ilec voiant touz cels qui y	
                estoient (G1)	1	
s'aprochierent	s'aprochierent tuit (G1)	1
sa volenté	sa volenté de maintes choses (G1)	1
sachiez bien	sachez bien cil qui ce demandez (G1)	1
cius	sains ciels (G1)	1
par sa seinte parole	saint Martin par saintes paroles et puissanz (G1)	1
sarqu	saint sarqueul (G1)	1
orisons	ses orisons (G1)	1
toz ses membres	ses plaies et ses menbres (G1)	1
seüst	seüst il (C2 C3 G1)	1
grant	si grant (G1)	1
auctorité	si grant auctorité (G1)	1
croire son seint home	son saintisme non croire et l'ome qui a lui parloit  (G1)	1
chaut	tout chaut (G1)	1
ensanglenté	tout ensanglenté en tel maniere (G1)	1
l'oevre	toute l'uevre (G1)	1
toute sanglante	toute sanglente. Dont moustra au saint home sa main et son	
                braz tout sanglent (G1)	1	
les	toutes les (G1)	1
toz les pechiez	toutes les choses et les pechiez (G1)	1
cels	touz cels (G1)	2
toz	touz celz qui la estoient (G1)	1
les	touz les (G1)	1
li ans	touz li anz (G1)	1
puissanz	touz puissanz (G1)	1
li prestre	tuit li prestre (G1)	1
valu	valu et conforté (G1)	1
venoient	venoient ne les pooit souffrir en nule maniere (G1)	1
vie	vie mener (G1)	1
volentiers	volentiers sacrefices et (G1)	1
		
inv.		
122		
Pourcentage : 5.5303717135086129		
Lemme 	leçon	
.ii. angeles	angeles .ii. (G1)	1
s'en revint adonc	Adonc s'en vint (G1)	1
Tuit estoient	Ainz estoient tuit (G1)	1
Beaus signors de Poitiers, se vos	Se vous biaus seignors de Poitiers (G1)	1
adonqes en cel tens	a cel tans adonc (G1)	1
a venir envers  lui et a cheïr	a cheoir et a venir envers lui (G1)	1
a douner et a departir	a departir et a donner (C2 C3 G1)	1
de cheïr fere samblant	a faire semblant de chaoir (G1)	1
en escripture a metre	a metre en escripture (G1)	1
son cuer a nostre Signor	a nostre seigneur son cuer (G1)	1
a ses freres a proier	a proier ses freres (G1)	1
graces a rendre	a rendre graces (G1)	1
li desfendoient a trenchier	a trenchier le desfendoient (G1)	1
arrester et aguetier	agaitier et arester (G1)	1
le deable einsi parler	ainsi parler le deable (G1)	1
celui einsi	ainssi celui (G1)	1
a terre ambedui	ambedui a terre (G1)	1
.ii. angeles	angeles .ii. (G1)	1
creoit et aoroit	aouroit et creoit (G1)	1
a la premiere foiz auroit la victoire	aroit a la premiere foiz victoire (G1)	1
la coupe baillié au prestre	au prestre la coupe baillie (G1)	1
dire au seint home	au saint home dire (G1)	1
ceste parole autre foiz	autre foiz ceste parole (G1)	1
devoient avenir	avenir devoient (G1)	1
petit avoir fait	avoir petit fait (G1)	1
ceste chose avoit oïe	avoit ceste chose oïe (G1)	1
devant avoit	avoit devant (G1)	1
un pou de ses vesteüres avoient	avoit un poi de sa vesteüre (G1)	1
receü baptesme	bapteme receü (G1)	1
receü baptesme	baptesme receü (G1)	1
sacré et beneï	beneï et sacré (G1)	1
sacree et beneïe	beneïe et sacree (G1)	1
molt volentiers celui	celui molt volentiers (G1)	1
savoir certeinnement	certainement savoir (G1)	1
grant chaleur	chaleur grant (G1)	1
les deables chaçoit	chassoit les deables (G1)	1
venist et cheïst	chaïst et venist (G1)	1
fu mout dolenz, si conmença a plo--rer	conmença a plorer et fu molt dolanz (G1)	1
oster de la ou il estoit enfoïz	de la ou il estoit enfouiz oster (G1)	1
cele grant mervelle de loing	de loinz cele merveille (G1)	1
puissance de lui traveillier	de lui travaillier puissance (G1)	1
de doçor et de repoz	de repos et de douceur (G1)	1
ensegnast et demostrast	demoustrast et enseignast (G1)	1
l'autel despechier et desfere	depecier et desfaire l'autel (G1)	1
a celui qe j'ai		
                conté dessamblables	dessemblables a celui que j'ai devant dit (G1)	1
aler devoit	devoit aler (G1)	1
a ses freres conté et dit	dit as ses freres et conté (G1)	1
cuidié et dit	dit et cuidié (G1)	1
fu ele	ele fu (C2 G1)	1
les deables chacier fors	enchacier les deables (G1)	1
mie encore	encore mie (C2 C3 G1)	1
ceste vie entendent	entendent ceste vie (G1)	1
en orissons envers nostre Signor	envers nostre seigneur en oroisons (G1)	1
confermé de ses beneïçons. et esleeciez de ses beles		
                    vertuz. et de ses granz miracles	esleecié de ses beles vertuz et de ses granz miracles et	
                  si avez esté confremé de ses beneïçons (G1)	1	
poissanz est	est puissanz (G1)	1
en cel tens estoient	estoient en ce tans (G1)	1
cheve estoit	estoit cavee (G1)	1
en tel liu estoit	estoit en tel lieu (G1)	1
en sa compaignie estoit venuz	estoit venuz en sa compaignie (G1)	1
vestuz estoit	estoit vestuz (G1)	1
tant esté	esté tant (G1)	1
et de par mere et de par pere	et de par pere et de par mere (G1)	1
estoit seinz Martins	et que saint Martin estoit (G1)	1
et a ceste covenence se  tindrent bien	et si se tindent bien a cest couvenance (G1)	1
voisins evesqes	evesqes voisins (C2 C3 G1)	1
demostrer et fere	faire et demoustrer (G1)	1
grant noise et grant fremissement	grant fremissement et molt grant noise (G1)	1
hauz hom	hom haus (G1)	1
est il	il est (G1)	1
oï il	il oï (G1)	1
il avoient geuné	jeuné avoient (G1)	1
devant l'empereor tenoit la coupe d'or	la coupe d'or tenoit devant l'empereor (G1)	1
de la cité  et de la contree d'environ i estoient assamblétuit assemblez	la estoient assemblé de la cité et de la contree	
                environ (G1)	1	
la crestiene loy	la loi crestiene (G1)	1
ester le diable	le deable ester (G1)	1
trova bien et prova	le prouva bien et trouva (G1)	1
les iols et les meins	les meins et les euz (C2 C3 G1)	1
deguerpissoient et leissoient	lessoient et guerpissoient (G1)	1
et deguerpi le baptesme	leur baptesme et deguerpi (G1)	1
a nostre Signor lor orissons	leur oroisons a nostre Seigneur (G1)	1
a reprendre lor valors	leur valeur a reprendre (G1)	1
li deables par son art deceü	li deables deceü par son art (G1)	1
ce oï li seinz hom	li sainz hom oï ce (G1)	1
hauça li uns	li uns hauça (G1)	1
avoit molt	molt avoit (G1)	1
mout dolenz et molt corrociez	molt coureciez et molt dolant (G1)	1
et dist soudeinement	molt soudainement et dist (G1)	1
arriere mout tost	molt tost arriere (G1)	1
molt 		
              esmaie et torblee	molt troublee et esmeüe (G1)	1
grant chose est	mout est grant chose (G1)	1
devant nomé	nomé devant (G1)	1
tout en tot nostre Signor	nostre seigneur del tout en tout (G1)	1
n'avoient onqes	onqes n'avoient (G1)	1
a peines ose	oz a paine (G1)	1
travail et paine	paine et travail (G1)	1
conter par autrui	par autres conter (G1)	1
celtel temple depecier par sa force	par force cel temple despecier (G1)	1
li fu la parole rendue		
                par la volenté de nostre Signor	par la volenté de nostre Seigneur li fu la parole	
                rendue (G1)	1	
le seint home par paroles	par parole le saint home (G1)	1
precieuses pierres	pierres precieuses (G1)	1
par les meins des seinz angeles portez	portez par les mains des sainz angles (G1)	1
a son oés: por demorer	pour demorer a son oés (G1)	1
la ou il ert en presence por lui	pour lui la ou il estoit en presence (G1)	1
au seint home por reqerrepor le reqerre	pour requerre au saint home (G1)	1
example prendre	prendre essample de bien (G1)	1
sesir. et prendre	prendre et saisir (G1)	1
seinz homes et prodomes	preudomes et sainz (G1)	1
li evesqes puis	puis li evesques (G1)	1
Li empereres, qant il oï ce, 	qant ce oï li emperieres (G1)	1
qe lendemein l'emporteroient il a		
                force	qu'il l'emporteroient lendemain par force (G1)	1
s'afichierent et distrent bien	s'afichierent bien et distrent (G1)	1
preudom: et seinz hom	saint hom et preudom (G1)	1
descendoient sor la meson	seur la maison descendoient (G1)	1
mout durement: sor une meson	seur une maison molt durement (G1)	1
la char de li est	si est la char de lui (G1)	1
a vos soffire	souffire a vous (G1)	1
ancien temple	temple ancien (G1)	1
estoient en communité mises totes lor choses	toutes leur choses estoient mises en communité (G1)	1
arrierea terre toz estenduz	touz estenduz arriere (G1)	1
toz combrisiez et maumis	touz maumis et touz conbrisiez (G1)	1
fet fere un autel	un autel fet fere (G1)	1
en la cité venuz	venuz en la cité (G1)	1
qi en avoit grant doel et grant ire vint a lui 	vint avant qui avoit grant duel et grant ire (G1)	1
		
plur.		
10		
Pourcentage : 0.4533091568449683		
Lemme 	leçon	
autel	autelz (G1)	1
avoit	avoient (G1)	1
destruisoit	destruisoient (G1)	1
fist	firent (G1)	1
fors de la porte	fors des portes (G1)	1
fust	fussent (G1)	1
grant segnorie	granz seignories (G1)	1
la chose	les choses (G1)	1
la lumiere receüe	les lumieres receües (G1)	1
sa proiere	ses proieres (G1)	1
		
red.		
35		
Pourcentage : 1.5865820489573889		
Lemme 	leçon	
et il fist sor lui le signe de la croiz. et 	Il se leva et fist (G1)	1
del tout en	a (G1)	1
d'aler ensamble o lui estoient		
                adés acostumé	aloient avec lui (G1)	1
qi archevesqes estoit de Tors	archevesque de Tors (G1)	1
ensamble o la seinte compaignie de ses deciples	atout ses desciples (G1)	1
la chose avenue	avenu (G1)	1
ester de chose q'il nos vousist feire, car il es--toit		
                de si grant auctorité: qe ce me		
                semblast vilenie		
                et pechiés, se je li		
                escondeïsse ne ne sousfrisse chose q'il me		
                vousist fere	ce qu'il voloit aler (G1)	1
les pluseurs genz vindrent	cil (G1)	1
l'agaitoit et destraignoit	contralioit (G1)	1
del seint	de (G1)	1
qi de Poitiers estoient	de Poitiers (G1)	1
qi de Tors estoient	de Tors (G1)	1
qi estoient as	des (G1)	1
donoit tout as povres	donnoit as povres (C2 G1)	1
il en tel maniere	en tel maniere (G1)	1
establissoit il et faisoit	establissoient (G1)	1
ou il li	et (G1)	1
ensamble o la conpagnie des seintes virges	et avec les vierges (G1)	1
et par griez tormenz: et par veilles		
                et par geunes	et par martire (G1)	1
qi mengoient les poissons et les devoroient	et qui les poissons devouroient (G1)	1
nule folie	felonnie (G1)	1
pot mal feire ne grever	fist mal (G1)	1
molt grant froidure	froit (G1)	1
joste lui: cui il voloit		
                honorer et grant feste fere. Et 	honorez (G1)	1
les griez peines	la paine (G1)	1
mie cil qi fust si	pas (G1)	1
si en voudrent porter	por (G1)	1
joste le fu firent il un beaumolt biau lit de fuere a oés l'evesqe	puis un haut lit conme a evesque (G1)	1
s'esmerveillierent de la grant		
                vertu qe nostre Sires avoit mise en seint Martin, qeqi sor oiseaus meïsmes avoit de conmander		
                puissance	s'en merveilloient mout (G1)	1
sa grant douçor et par		
                sa grant misericorde	sa bonté (G1)	1
entendoit bien et savoit	savoit bien (G1)	1
fermeüre desfermer del huis	serrure desfremer (G1)	1
Tout ausi	si (G1)	1
lassez et ennuiez de si longe demorance	touz lassez de la demorance (G1)	1
deüst venir	venist (G1)	1
		
sing.		
18		
Pourcentage : 0.8159564823209429		
Lemme 	leçon	
ce sont cil	c'est ceus (G1)	1
descendissent	descendist (G1)	1
estoient	estoit (G1)	2
eüssent	eüst (G1)	2
forces	force (G1)	1
granz miracles et granz merveilles	grant miracle et grant merveille (G1)	1
granz vertuz	grant vertu (G1)	1
guetent	guete (C2 C3 G1)	1
les empereors	l'empereor (C2 G1)	1
les compaignies	la compaingnie (G1)	1
les flambes	la flambe (G1)	1
les torbes	la torbe (G1)	1
prestres	prestre (G1)	1
mie autre mal qe feïssent	riens plus mal que feïst (G1)	1
s'asamblerent	s'asembla (G1)	1
totes choses	toute creature (G1)	1
		
temps		
33		
Pourcentage : 1.4959202175883953		
Lemme 	leçon	
avoient aoré	aoroient (G1)	1
apertienent	apartenoient (G1)	1
eüst	avoit (G1)	1
estoit	avoit esté (G1)	1
proia li empereres	avoit li emperieres proié (G1)	1
c'est	c'estoit (G1)	1
cremirai	criem (G1)	1
crierent	crioient (G1)	1
deümes	devons (G1)	1
distrent	disoient (G1)	1
dist	disoit (G1)	1
devroient	doivent (G1)	1
estoit	est dit (G1)	1
fust	estoit (G1)	2
feïst	faisoit (G1)	1
feisoient	font (G1)	1
gardoit	garde (G1)	1
gardent	gardoient (G1)	1
greveroit	grevast (G1)	1
lessoient	lessierent (G1)	1
m'esvellastes	m'avez esveillié (G1)	1
avoient	ont (G1)	1
oï	ot oïes (G1)	1
peüst	poist (G1)	1
cuidoient	quidierent (G1)	1
ert	sera (G1)	1
sera	soit (G1)	2
est trespassee	trespasse (G1)	1
vient	vint (G1)	1
vout	voloit (C3 G1)	1
voloit	volt (G1)	1
		
om.		
572		
Pourcentage : 25.929283771532185		
Lemme 		
 ne leçon	1	
Adonc et 	1	
Aprés qant totes cez voiz	1	
ce	1	
Ce est a dire	1	
Ce est certeinecerte chose et provee	1	
Ce puet l'en veoir	1	
Dont cil serront mat et confus. Qi bien servi ne l'averontauront.  Et cil qi ses comansconmandemenz feront. Averontauront joietel joie et tel leesche,  Tel signorie et tel hautesce Qe nus deviser nel sauroit, Ja tant ne s'en entremetroit Riches,		
                      povres conmunement. Qi a cel esjoïssement. Peüssent venir sanz desfense. Et cil qi la venir ne pense. Est certes en molt male voie,  Car li deables le desvoie. Qi oa lui est soir et matin. Qi la vie ot de seint		
                      Martin, Aucun bien en doit retenir,  Car del bien doit bien sovenir. Le mal doit l'en lessier aler. Ce oi sovent dire et conter. Qe del bien doit nestre li biens,  Del mal le mal as ancïens. Ne vos en sai plus qe retraire. BuerBien fu nés qi le bien puet feire,  Car Dex l'aime, mon essïent. Qant li emperere oet sa gent. 	1	
et	1	
Et	19	
Et por  ce	1	
Et qant il vint premiers a Conde: et 	1	
Et tout	1	
le saint home	1	
Mes	1	
Miracles de seint Martin	1	
ne	1	
Qi del trestottot nos assegure. Et qi la verité en dist, 	1	
Qi sa vie nos a retrete. El latin qi molt bien l'a fete. Au tiesmoing ceus qi l'ont leüe. Et tote oïe et entendue.	1	
Seinz		
                  Martins	1	
Si com il ardi un templeun temple de paiens	1	
Si com il cheï del cenailldou cheval	1	
Si com il delivra le serjant au conselle	1	
Si com il rendi a un home son oel 	1	
Si com seinz Martins resuscita un		
              mort	1	
Si com il chaça le deable hors d'une		
              meson	1	
si dist	1	
Toz	1	
Un autre miracle	2	
Une	1	
Uns autres miracles	1	
Uns autres miracles	1	
Uns miracles de seint Martin	1	
a	4	
Aies merci de nous qe tu ne nos deguerpisses mie	1	
adonc	1	
adonqes	1	
adonques	1	
aet a grant joie	1	
amont	1	
amor	1	
apelé	1	
as povres	1	
as freres	1	
as iols	1	
as malades	1	
aucuns	1	
autre chose	1	
autre chose. ne	1	
autres	1	
a ceste chose	1	
a crier	1	
a depecier	1	
a dire	1	
a feire et a dire	1	
a ferir	1	
a l'arcedyacre	1	
a l'arcedyacre	1	
a l'empereor	1	
a la table seoit et 	1	
a lui	2	
a nos	1	
bien	4	
c'on i veoit	1	
Car chascuns veut trestot avoir. Et chascuns tient a grant savoir. Que la ou doit doner souvent. Doinst a chascun pou ou noient. Mes je vous di que mal esploite. Qui tout a retenir couvoite, Car morir couvient en la fin. Qui souvendroit de seint		
                      Martin. Et qui ses voies ensivroit. Ja certes avers ne serroit. Ne n'auroit en lui felonie. Ne mauvestié ne vilonie. Si en devroit bien sovenir: A tous ceus qui cuident morir. Mes autres ne le dient mie. Qi la mort tienent a folie. Ne qui ne cuident ja finir. Ne de cestce siecle departir. 	1	
ce	5	
